metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source.link.to.discussion
relative;yes;Final Energy;EJ/yr;;;;2010-2020;-0.3;-0.2;0.2;0.3;range(IEA-EB-directSum, IEA-EB-directSum_smoothed);historical;;
relative;yes;Final Energy;EJ/yr;;;World;2010-2020;-0.2;-0.1;0.1;0.2;range(IEA-EB-directSum, IEA-EB-directSum_smoothed);historical;;
relative;yes;Capacity|Electricity|Nuclear;GW;;;;2010-2020;-0.3;-0.2;0.2;0.3;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Nuclear;GW;;;World;2010-2020;-0.2;-0.1;0.1;0.2;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Hydro;GW;;;;2010-2020;-0.3;-0.2;0.2;0.3;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Hydro;GW;;;World;2010-2020;-0.2;-0.1;0.1;0.2;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Solar;GW;;;;2010-2020;-0.3;-0.2;0.2;0.3;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Solar;GW;;;World;2010-2020;-0.2;-0.1;0.1;0.2;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Wind;GW;;;;2010-2020;-0.3;-0.2;0.2;0.3;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Wind;GW;;;World;2010-2020;-0.2;-0.1;0.1;0.2;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;;;;2010-2020;-0.3;-0.2;0.2;0.3;range(CEDS, CEDS_smoothed);historical;;
relative;yes;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;;;World;2010-2020;-0.2;-0.1;0.1;0.2;range(CEDS, CEDS_smoothed);historical;;
relative;yes;Emissions|CO2|Energy|Supply;Mt CO2/yr;;;;2010-2020;-0.3;-0.2;0.2;0.3;range(CEDS, CEDS_smoothed);historical;;
relative;yes;Emissions|CO2|Energy|Supply;Mt CO2/yr;;;World;2010-2020;-0.2;-0.1;0.1;0.2;range(CEDS, CEDS_smoothed);historical;;
absolute;yes;Capacity|Electricity|Solar;GW;;;World;2025;1866.65076;2167.71608;2832.17172;3271.73704;;;;
absolute;yes;Capacity|Electricity|Solar;GW;;;World;2030;2940.57576;4434.89108;7843.82172;10272.13704;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;World;2025;1066.024935;1174.47303;1406.913795;1549.90539;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;World;2030;1350.924885;1775.92848;2736.446895;3407.03099;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;World;2050;;;;991;;;;IAEA high case
;;;;;;;;;;;;;;;
NGFS Scenario Narratives;;;;;;;;;;;;;;;
absolute;yes;Primary Energy|Biomass;EJ/yr;;;World;2020-2100;0;40;100;120;;;;
absolute;yes;Primary Energy|Fossil;EJ/yr;;o_1p5c;World;2060-2100;;0;100;150;;;;
absolute;yes;Carbon Capture|Geological Storage;Mt CO2/yr;;;World;2035-2100;;0;5000;6000;;;;
;;;;;;;;;;;;;;;
absolute;yes;Emissions|CO2;Mt CO2/yr;;o_1p5c;World;2045;-10000;0;;;;;;
absolute;yes;Emissions|CO2;Mt CO2/yr;;o_1p5c;World;2055;;-10000;0;10000;;;;
absolute;yes;Emissions|CO2;Mt CO2/yr;;o_1p5c;World;2060-2100;;-10000;;0;;;;
