metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
Deviation to historical data;;;;;;;;;;;;;;;
relative;yes;Emi|CO2|w/o Bunkers|Energy|Demand|Transport;Mt CO2/yr;;;;2005-2020;-40%;-20%;20%;40%;range(CEDS, EDGARghg);historical;;
relative;yes;Emi|CO2|Energy|Demand|Buildings;Mt CO2/yr;;;;2005-2020;-40%;-20%;20%;40%;range(CEDS, EDGARghg);historical;;
relative;yes;Emi|CO2|w/o Bunkers|Energy and Industrial Processes;Mt CO2/yr;;;;2005-2020;-40%;-20%;20%;40%;range(CEDS, EDGARghg);historical;;
relative;yes;Emi|CO2|Energy|Supply;Mt CO2/yr;;;;2005-2020;-40%;-20%;20%;40%;range(CEDS, EDGARghg);historical;;
relative;yes;PE|Coal;EJ/yr;;;;2005-2020;-30%;-15%;15%;30%;range(IEA-EB-directSum, BP);historical;;
relative;yes;PE|Oil;EJ/yr;;;;2005-2020;-30%;-15%;15%;30%;range(IEA-EB-directSum, BP);historical;;
relative;yes;PE|Gas;EJ/yr;;;;2005-2020;-30%;-15%;15%;30%;range(IEA-EB-directSum, BP);historical;;
relative;yes;SE|Electricity;EJ/yr;;;;2005-2020;-30%;-15%;15%;30%;range(Ember, BP);historical;;
relative;yes;FE;EJ/yr;;;;2005-2020;-40%;-20%;20%;40%;range(IEA-EB-directSum);historical;;
relative;yes;Cap|Electricity|Coal;GW;;;;2005-2020;-40%;-20%;20%;40%;Ember;historical;;
relative;yes;Cap|Electricity|Gas;GW;;;;2005-2020;-40%;-20%;20%;40%;Ember;historical;;
relative;yes;Cap|Electricity|Solar;GW;;;;2005-2020;-40%;-20%;20%;40%;range(Ember, IRENA);historical;;
relative;yes;Cap|Electricity|Wind;GW;;;;2005-2020;-40%;-20%;20%;40%;range(Ember, IRENA);historical;;
relative;yes;Cap|Electricity|Hydro;GW;;;;2005-2020;-40%;-20%;20%;40%;range(Ember, IRENA);historical;;
relative;yes;Cap|Electricity|Nuclear;GW;;;;2005-2015;-40%;-20%;20%;40%;Ember;historical;;
;;;;;;;;;;;;;;;
Near-term realism;;;;;;;;;;;;;;;
from fullThresholds;;;;;;;;;;;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;World;2020;40.752;43.016;47.544;49.808;;;;IEA CCUS
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;LAM;2020;6.36;8.48;12.72;14.84;;;;https://github.com/pik-piam/mrremind/discussions/544
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;OAS;2020;;;;0;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;SSA;2020;;;;0;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;EUR;2020;0.606;0.808;1.212;1.414;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;NEU;2020;0.51;0.68;1.02;1.19;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;MEA;2020;2.22;2.96;4.44;5.18;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;REF;2020;;;;0;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;CAZ;2020;4.467;5.956;8.934;10.423;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;CHA;2020;0.42;0.56;0.84;0.98;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;IND;2020;;;;0;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;JPN;2020;;;;0;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;USA;2020;12.585;16.78;25.17;29.365;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;World;2025;39.7431;50.62835;74.1363;79.4266;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;LAM;2025;;5.724;17.64;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;OAS;2025;;0;4.62;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;SSA;2025;;0;0.0014;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;EUR;2025;;0.5454;2.464;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;NEU;2025;;0.4644;2.296;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;MEA;2025;;1.998;11.2;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;REF;2025;;;0;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;CAZ;2025;;4.9386;22.603;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;CHA;2025;;1.944;7;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;IND;2025;;;0;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;JPN;2025;;;0;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;USA;2025;;10.881;33.264;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;World;2030;44.1585;70.73415;182.03745;514.1994;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;LAM;2030;;6.36;28.84;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;OAS;2030;;0;20.9426;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;SSA;2030;;0;1.4014;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;EUR;2030;;0.606;105.28;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;NEU;2030;;0.516;18.5388;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;MEA;2030;;2.22;30.1;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;REF;2030;;;0;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;CAZ;2030;;5.487;115.556;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;CHA;2030;;2.16;21.7;;;;;
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;IND;2030;;;0;;;;;
