metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
EVs;;;;;;;;;;;;;;;
difference;yes;Stock|Transport|Pass|Road|BEV;;;;;2010-2020;-2.5;-1.25;1.25;2.5;range(IEA GEVO Historical, IEA GEVO Historical_smoothed);historical;;Based on historical data and projections from IEA GEVO 2024
difference;yes;Stock|Transport|Pass|Road|BEV;;;;World;2010-2020;-5;-2.5;2.5;5;range(IEA GEVO Historical, IEA GEVO Historical_smoothed);historical;;COVID smoothing: additional tolerance for 2020 by using the range of 2020 value and average of 2018-2022 as reference to allow for models to include or exclude COVID dip
relative;yes;Stock|Transport|Pass|Road|BEV;;;;;2025-2030;-40%;-20%;20%;40%;range(IEA GEVO APS, IEA GEVO STEPS);historical;;
difference;yes;Sales|Transport|Pass|Road|BEV;;;;;2010-2020;-0.5;-0.25;0.25;0.5;range(IEA GEVO Historical, IEA GEVO Historical_smoothed);historical;;
difference;yes;Sales|Transport|Pass|Road|BEV;;;;World;2010-2020;-1;-0.5;0.5;1;range(IEA GEVO Historical, IEA GEVO Historical_smoothed);historical;;
relative;yes;Sales|Transport|Pass|Road|BEV;;;;;2025-2030;-40%;-20%;20%;40%;range(IEA GEVO APS, IEA GEVO STEPS);historical;;
Wind;;;;;;;;;;;;;;;
difference;yes;Cap|Electricity|Wind|Offshore;;;;USA, EUR, IND, CHA;2010-2015;-2;-1;1;2;range(IRENA, IRENA_smoothed);historical;;Based on projections from GWEC and own assumptions:
difference;yes;Cap|Electricity|Wind|Offshore;;;;World;2010-2015;-4;-2;2;4;range(IRENA, IRENA_smoothed);historical;;https://github.com/pik-piam/mrremind/discussions/543
relative;yes;Cap|Electricity|Wind|Offshore;;;;World, USA, EUR, IND, CHA;2020;-40%;-20%;20%;40%;range(IRENA, IRENA_smoothed);historical;;COVID smoothing: additional tolerance for 2020 by using the range of 2020 value and average of 2018-2022 as reference to allow for models to include or exclude COVID dip
absolute;yes;Cap|Electricity|Wind|Offshore;GW;;;EUR;2025;22.3;33.5;61.5;80.6;;;;
absolute;yes;Cap|Electricity|Wind|Offshore;GW;;;USA;2025;0.6;1.5;4.5;7.1;;;;
absolute;yes;Cap|Electricity|Wind|Offshore;GW;;;EUR;2030;33.3;62.8;149.5;217.4;;;;
absolute;yes;Cap|Electricity|Wind|Offshore;GW;;;USA;2030;3.1;8.3;24.8;38.5;;;;
CCS;;;;;;;;;;;;;;;
difference;yes;CO2|Transport and Storage;;;;;2010-2020;-10;-5;5;10;range(IEA CCUS, IEA CCUS_smoothed);historical;;Based on projections from IEA CCUS and own assumptions:
difference;yes;CO2|Transport and Storage;;;;World;2010-2020;-20;-10;10;20;range(IEA CCUS, IEA CCUS_smoothed);historical;;https://gitlab.pik-potsdam.de/REMIND/committed/-/issues/1 
absolute;yes;CO2|Transport and Storage;;;;World;2025;39.6207;49.49215;83.5611;152.4457;;;;COVID smoothing: additional tolerance for 2020 by using the range of 2020 value and average of 2018-2022 as reference to allow for models to include or exclude COVID dip
absolute;yes;CO2|Transport and Storage;;;;LAM;2025;;5.724;17.64;;;;;
absolute;yes;CO2|Transport and Storage;;;;OAS;2025;;0;7.602;;;;;
absolute;yes;CO2|Transport and Storage;;;;SSA;2025;;0;0.0014;;;;;
absolute;yes;CO2|Transport and Storage;;;;EUR;2025;;0.5454;3.864;;;;;
absolute;yes;CO2|Transport and Storage;;;;NEU;2025;;0.4614;2.2988;;;;;
absolute;yes;CO2|Transport and Storage;;;;MEA;2025;;1.998;13.5226;;;;;
absolute;yes;CO2|Transport and Storage;;;;REF;2025;;0;0;;;;;
absolute;yes;CO2|Transport and Storage;;;;CAZ;2025;;4.968;47.124;;;;;
absolute;yes;CO2|Transport and Storage;;;;CHA;2025;;1.809;7.35;;;;;
absolute;yes;CO2|Transport and Storage;;;;IND;2025;;0;0.98;;;;;
absolute;yes;CO2|Transport and Storage;;;;JPN;2025;;0;0;;;;;
absolute;yes;CO2|Transport and Storage;;;;USA;2025;;10.908;93.639;;;;;
absolute;yes;CO2|Transport and Storage;;;;World;2030;44.0226;60.01815;152.4663;457.8915;;;;
absolute;yes;CO2|Transport and Storage;;;;LAM;2030;;6.36;28.84;;;;;
absolute;yes;CO2|Transport and Storage;;;;OAS;2030;;0;20.9076;;;;;
absolute;yes;CO2|Transport and Storage;;;;SSA;2030;;0;0.0014;;;;;
absolute;yes;CO2|Transport and Storage;;;;EUR;2030;;0.606;88.074;;;;;
absolute;yes;CO2|Transport and Storage;;;;NEU;2030;;0.5124;22.526;;;;;
absolute;yes;CO2|Transport and Storage;;;;MEA;2030;;2.22;32.5626;;;;;
absolute;yes;CO2|Transport and Storage;;;;REF;2030;;0;0;;;;;
absolute;yes;CO2|Transport and Storage;;;;CAZ;2030;;5.52;89.698;;;;;
absolute;yes;CO2|Transport and Storage;;;;CHA;2030;;2.01;12.95;;;;;
absolute;yes;CO2|Transport and Storage;;;;IND;2030;;0;0.98;;;;;
absolute;yes;CO2|Transport and Storage;;;;JPN;2030;;0;2.3884;;;;;
absolute;yes;CO2|Transport and Storage;;;;USA;2030;;12.12;283.843;;;;;
