metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
Historical Vetting;;;;;;;;;;;;;;;
relative;yes;Final Energy;EJ/yr;;;;2010-2020;-30%;-20%;20%;30%;range(IEA, IEA_smoothed);historical;;
relative;yes;Final Energy;EJ/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(IEA, IEA_smoothed);historical;;
relative;yes;Primary Energy|Coal;EJ/yr;;;;2010-2020;-30%;-20%;20%;30%;range(BP, BP_smoothed);historical;;
relative;yes;Primary Energy|Coal;EJ/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(BP, BP_smoothed);historical;;
relative;yes;Primary Energy|Oil;EJ/yr;;;;2010-2020;-30%;-20%;20%;30%;range(BP, BP_smoothed);historical;;
relative;yes;Primary Energy|Oil;EJ/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(BP, BP_smoothed);historical;;
relative;yes;Primary Energy|Gas;EJ/yr;;;;2010-2020;-30%;-20%;20%;30%;range(BP, BP_smoothed);historical;;
relative;yes;Primary Energy|Gas;EJ/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(BP, BP_smoothed);historical;;
relative;yes;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;;;;2010-2020;-30%;-20%;20%;30%;range(CEDS, CEDS_smoothed);historical;;
relative;yes;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(CEDS, CEDS_smoothed);historical;;
relative;yes;Capacity|Electricity|Nuclear;GW;;;;2010-2020;-30%;-20%;20%;30%;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Nuclear;GW;;;World;2010-2020;-20%;-10%;10%;20%;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Hydro;GW;;;;2010-2020;-30%;-20%;20%;30%;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Hydro;GW;;;World;2010-2020;-20%;-10%;10%;20%;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Solar;GW;;;;2010-2020;-30%;-20%;20%;30%;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Solar;GW;;;World;2010-2020;-20%;-10%;10%;20%;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Wind|Onshore;GW;;;;2010-2020;-30%;-20%;20%;30%;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Wind|Onshore;GW;;;World;2010-2020;-20%;-10%;10%;20%;range(Ember, Ember_smoothed);historical;;
Near-Term Trends;;;;;;;;;;;;;;;
relative to 2030;;;;;;;;;;;;;;;
relative;yes;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;;SSP1 - Very Low with Limited Overshoot, SSP1 - Very Low after High Overshoot, SSP1 - Low Emissions, SSP1 - Medium-Low Emissions, SSP1 - Very Low with Limited Overshoot_a, SSP1 - Very Low with Limited Overshoot_c;;2030;-20%;-10%;10%;20%;;SSP1 - Medium Emissions;;
