metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
Historical Vetting;;;;;;;;;;;;;;;
relative;yes;Final Energy;EJ/yr;;;;2010-2020;-30%;-20%;20%;30%;range(IEA-EB-directSum, IEA-EB-directSum_smoothed);historical;;
relative;yes;Final Energy;EJ/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(IEA-EB-directSum, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Coal;EJ/yr;;;;2010-2020;-30%;-20%;20%;30%;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Coal;EJ/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Oil;EJ/yr;;;;2010-2020;-30%;-20%;20%;30%;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Oil;EJ/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Gas;EJ/yr;;;;2010-2020;-30%;-20%;20%;30%;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Gas;EJ/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Capacity|Electricity|Nuclear;GW;;;;2010-2020;-30%;-20%;20%;30%;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Nuclear;GW;;;World;2010-2020;-20%;-10%;10%;20%;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Hydro;GW;;;;2010-2020;-30%;-20%;20%;30%;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Hydro;GW;;;World;2010-2020;-20%;-10%;10%;20%;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Solar;GW;;;;2010-2020;-30%;-20%;20%;30%;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Solar;GW;;;World;2010-2020;-20%;-10%;10%;20%;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Wind|Onshore;GW;;;;2010-2020;-30%;-20%;20%;30%;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Wind|Onshore;GW;;;World;2010-2020;-20%;-10%;10%;20%;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;;;;2010-2020;-30%;-20%;20%;30%;range(CEDS, CEDS_smoothed);historical;;
relative;yes;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(CEDS, CEDS_smoothed);historical;;
relative;yes;Emissions|CH4|Waste;Mt CH4/yr;;;;2010-2020;-30%;-20%;20%;30%;range(CEDS, CEDS_smoothed);historical;;
relative;yes;Emissions|CH4|Waste;Mt CH4/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(CEDS, CEDS_smoothed);historical;;
difference;yes;Stocks|Transportation|Light-Duty Vehicle|Battery-Electric;million;;;;2010-2020;-2.5;-1.25;1.25;2.5;range(IEA GEVO Historical, IEA GEVO Historical_smoothed);historical;;
difference;yes;Stocks|Transportation|Light-Duty Vehicle|Battery-Electric;million;;;World;2010-2020;-5;-2.5;2.5;5;range(IEA GEVO Historical, IEA GEVO Historical_smoothed);historical;;
difference;yes;Sales|Transportation|Light-Duty Vehicle|Battery-Electric;million;;;;2010-2020;-0.5;-0.25;0.25;0.5;range(IEA GEVO Historical, IEA GEVO Historical_smoothed);historical;;
